text,label
sewer choke hone se makkhiyan badh gayi hain,sanitation
nala ke paas machhar bahut zyada ho gaye,sanitation
public toilet me light kaam nahi karti,sanitation
drain me plastic jam ho gaya hai,sanitation
sewage backflow se bathroom me badboo hai,sanitation
toilet seat toot gayi hai public place par,sanitation
nali saaf karne koi machine nahi aati,sanitation
sewer ka paani road par phail raha hai,sanitation
drainage ka paani basement me ghus raha,sanitation
toilet me proper ventilation nahi hai,sanitation
nala saaf na hone se paani ruk gaya,sanitation
gutter me girne ka khatra bana hua hai,sanitation
public toilet band pada aur locked hai,sanitation
sewage smell se log pareshan ho rahe,sanitation
drain se gandagi bahar ubal rahi hai,sanitation
toilet tank ka lid toot gaya hai,sanitation
sewer pipe phat kar khuli padi hai,sanitation
nali ka paani sadak tod raha hai,sanitation
toilet me flush karte hi paani wapas aata,sanitation
drain ke aas paas bahut gandagi jama hai,sanitation
sewage ka paani playground me phail gaya,sanitation
toilet ka tap bhi kharab ho chuka hai,sanitation
nala kinare kachra aur sewage mix hai,sanitation
drainage system purana aur leak kar raha,sanitation
toilet me har waqt geela pan bana rehta,sanitation
sewer maintenance ka kaam ruk gaya,sanitation
public washroom me safai mahino se nahi hui,sanitation
gutter ke paas badboo se rehna mushkil,sanitation
drainage line me cracks dikh rahe hain,sanitation
toilet me tiles toot kar gir rahi hain,sanitation
sewage jam hone se paani bhar gaya,sanitation
nali ka paani wapas ghar me aa raha,sanitation
toilet paper aur kachra drain me atka hai,sanitation
sewer line repair ka kaam adhura chhoda,sanitation
public toilet me paani supply band hai,sanitation
drain ka paani hamesha kala dikhta,sanitation
toilet ke paas keede aur makkhiyan hain,sanitation
nala ka paani footpath tak aa gaya,sanitation
drainage outlet completely block ho gaya,sanitation
toilet me smell itni tez hai ki use nahi hota,sanitation
sewer choke hone par awaaz aati rehti,sanitation
nali saaf na hone se paani ubal raha,sanitation
toilet cleaning ke liye koi schedule nahi,sanitation
sewage smell se bachche bimar pad rahe,sanitation
drain cover toot kar andar gir gaya,sanitation
nala ka paani building ke gate tak aaya,sanitation
toilet ka flush button atak gaya hai,sanitation
sewer ke paas khada rehna mushkil ho gaya,sanitation
drainage pipe jhuk kar leak kar rahi hai,sanitation
toilet area me hamesha pani ka puddle,sanitation
sewage overflow se road slippery ho gayi,sanitation
nali ki safai sirf upar upar se hoti,sanitation
toilet ka basin toot gaya aur leak karta,sanitation
sewer gas se chakkar jaisa feel hota,sanitation
drain me patthar aur mitti jam ho gayi,sanitation
public sanitation system bilkul fail lagta,sanitation
bijli roz bina warning ke chali jati hai,energy
ghar me voltage bahut low aa raha hai,energy
transformer se ajeeb si awaaz aa rahi hai,energy
street light raat bhar band rehti hai,energy
electric pole se chingari nikal rahi hai,energy
power cut ke baad bahut der me supply aati hai,energy
meter box se jalne ki smell aa rahi hai,energy
inverter charge nahi ho pa raha power fluctuation se,energy
generator chalane par bhi poora load nahi uthta,energy
electric pole tedha ho kar girne jaisa lag raha hai,energy
solar panel par dhool jamne se output kam ho gaya,energy
feeder fault ki wajah se pura block andhere me hai,energy
bulb baar baar fuse ho jata hai,energy
backup power sirf kuch minute chalti hai,energy
bijli ka bill achanak bahut zyada aaya hai,energy
substation maintenance ka kaam pending pada hai,energy
khule wires pole par latak rahe hain,energy
voltage spike se TV band ho gaya,energy
street light din me bhi jalti rehti hai,energy
stable electricity ke liye complaint register ki hai,energy
ghar ke switch board me current leak lagta hai,energy
AC chalate hi bijli trip ho jati hai,energy
power supply din me kai baar cut hoti hai,energy
electric cable sadak par neeche latak rahi hai,energy
transformer overheat ho kar band ho jata hai,energy
smart meter reading update nahi hoti,energy
generator ka fuel khatam ho jata baar baar,energy
wiring purani aur unsafe lag rahi hai,energy
electricity restore hone par tez jhatka lagta hai,energy
street light ki tube blink karti rehti hai,energy
ghar me ek phase bilkul band hai,energy
pole ke paas current ka khatra mehsoos hota hai,energy
solar inverter error code dikha raha hai,energy
power fluctuation se fridge kaam nahi kar raha,energy
meter tezi se ghoomta dikhta hai,energy
bijli ki line barish me spark karti hai,energy
power outage ki koi pehle se jankari nahi milti,energy
inverter backup expected time tak nahi chalta,energy
transformer oil leak hota dikh raha hai,energy
electric pole par birds ki wajah se short circuit hua,energy
ghar ke fans full speed par nahi chal paate,energy
substation ke paas loud humming sound aati hai,energy
bijli jaate hi mobile network bhi chala jata hai,energy
backup generator se bahut noise aur smoke aata hai,energy
electric connection baar baar loose ho jata hai,energy
power supply aate hi phir chali jati hai,energy
voltage itna low hai ki lights dim rehti hain,energy
smart grid system kaam nahi kar raha lagta hai,energy
meter box ka cover toot gaya hai,energy
ghar me baar baar MCB trip ho jati hai,energy
solar battery charge nahi ho rahi hai,energy
electricity pole dangerously jhuk gaya hai,energy
feeder line par baar baar fault aata hai,energy
power line par ped ki branch takra rahi hai,energy
subah aur shaam fixed time par power cut hota hai,energy
power fluctuation se laptop charger jal gaya,energy
bijli ka voltage kabhi bahut high ho jata hai,energy
street light ka pole girne jaisa lag raha hai,energy
ghar ke sockets me current feel hota hai,energy
renewable energy ka option available nahi hai,energy
electric wire road par khuli padi hai,energy
inverter se burning smell aa rahi hai,energy
transformer repair ka kaam bahut delay ho gaya,energy
ghar me ekdum se poora blackout ho jata hai,energy
power outage se water pump bhi band ho jata hai,energy
solar light raat ko on hi nahi hoti,energy
electric meter ki reading clearly dikhti nahi,energy
cable joints exposed aur unsafe hain,energy
bijli aate hi appliances reset ho jate hain,energy
overhead power line bahut neeche latak rahi hai,energy
generator start hone me bahut time lagta hai,energy
power supply sirf kuch ghante hi milti hai,energy
street lighting uneven aur dark patches bane rehte hain,energy
electric fault ki complaint close hi nahi hoti,energy
voltage drop se washing machine ruk jati hai,energy
ghar me surge protector ke bawajood damage ho gaya,energy
electricity bill me galat units add ho gaye hain,energy
backup power system lagane ki zarurat hai,energy
lagatar power cuts se kaam ruk jata hai,energy
power quality itni kharab hai ki devices blink karte rehte hain,energy
raat bhar loud music bajta rehta hai,noise
construction drilling ki awaaz din bhar aati hai,noise
generator ki tez awaaz neend kharab kar deti hai,noise
traffic horns se sir dard hone lagta hai,noise
DJ loudspeaker ki sound bahut zyada hai,noise
raat me illegal party ka shor sunai deta hai,noise
factory ki machine ka constant shor aata hai,noise
subah subah loud bhajan se disturbance hoti hai,noise
road cutting machine ka noise bardasht se bahar hai,noise
speaker par announcements bahut loud chalti hain,noise
padosi roz raat ko tez music chalate hain,noise
construction site raat bhar noisy rehti hai,noise
metro construction se zameen tak kaanpti hai,noise
loud bass se ghar ki khidkiyan hilti hain,noise
traffic signal par lagataar honking hoti hai,noise
road roller machine ka vibration disturb karta hai,noise
speaker testing ki tez awaaz baar baar aati hai,noise
nearby club se loud sound raat tak sunai deta hai,noise
drilling ki tez awaaz se kaam karna mushkil hai,noise
airport side se plane ka noise bahut aata hai,noise
late night DJ se bachchon ki neend toot jati hai,noise
workshop ki machines se lagataar shor hota hai,noise
loud crackers jaisi awaaz roz sunai deti hai,noise
generator backup nonstop ghoomta rehta hai,noise
market area me loud advertising speakers lage hain,noise
bike racing ka shor raat ko badh jata hai,noise
construction hammering subah jaldi shuru ho jati hai,noise
party hall se loud sound poori gali me failta hai,noise
traffic police ki siren baar baar bajti hai,noise
speaker ki echoing sound dimag kharab karti hai,noise
continuous background noise se stress feel hota hai,noise
loudspeaker ka volume control nahi hota,noise
road par trucks ka heavy shor rehta hai,noise
late night road repair ka kaam noisy hota hai,noise
pados ke generator ki awaaz bahut tez hai,noise
DJ truck colony me ghus kar loud music bajata hai,noise
construction ka cutting noise din bhar rehta hai,noise
horn ka shor office me concentrate nahi hone deta,noise
subah 5 baje se loudspeaker chalu ho jata hai,noise
night shift me factory ka noise aur badh jata hai,noise
loud music ki wajah se phone call sunai nahi deti,noise
road drilling se ghar ki diwar tak hilti hai,noise
nearby temple ka loudspeaker bahut tez hai,noise
metro passing ka shor ghar tak sunai deta hai,noise
heavy vehicles ka shor raat ko bhi chalta rehta hai,noise
speaker se aati sharp awaaz kaan chubhati hai,noise
construction debris girne ki awaaz disturb karti hai,noise
bus stand par announcements bahut loud hoti hain,noise
pados me renovation ka kaam nonstop noisy hai,noise
public event ka sound system control me nahi hai,noise
loud music se pets bhi pareshan ho jate hain,noise
nearby bar se raat tak loud sound aata hai,noise
traffic jam me log lagataar horn bajate hain,noise
speaker ki feedback awaaz bahut irritating hai,noise
night me goods trucks ka shor badh jata hai,noise
roadside compressor machine loud chalti rehti hai,noise
construction crane ki beep beep disturb karti hai,noise
loudspeaker se speeches poori gali me gunjti hain,noise
festival me DJ ka volume had se zyada hota hai,noise
late night drilling ki awaaz neend tod deti hai,noise
speaker system me bass itni tez hai ki deewar kaanpti hai,noise
nearby workshop ka grinder din bhar chalta hai,noise
horn aur siren ka mixed shor dimag kharab karta hai,noise
subah school ke paas loud announcements hoti hain,noise
generator start hote hi tez jhatka sa noise hota hai,noise
party ke baad bhi loud cleanup ka shor hota hai,noise
construction ka hammer drill bina rukke chalta hai,noise
loudspeaker ka echo ghar ke andar tak aata hai,noise
traffic ke brake aur horn ka shor lagataar hai,noise
night me club ka music band hi nahi hota,noise
speaker se aati shrill awaaz kaan dard karti hai,noise
road cutting se chipak chipak ki loud sound aati hai,noise
festival procession ka DJ poora din shor karta hai,noise
metro ke pillar ka kaam bahut noisy chal raha hai,noise
nearby plant ka exhaust fan tez awaaz karta hai,noise
public rally me loud slogans se disturbance hoti hai,noise
continuous drilling se sir me dard rehta hai,noise
loudspeaker ki wajah se online meeting mushkil hai,noise
subah se raat tak construction ka shor chalta hai,noise
hawa me bahut tez dhuaan faila hua hai,air
pollution ki wajah se saans lene me dikkat ho rahi hai,air
construction site ki dhool ghar tak aa rahi hai,air
factory se kala dhuaan lagataar nikal raha hai,air
road par gaadiyon ka smoke bahut zyada hai,air
jalta hua kachra zehreli badboo faila raha hai,air
AQI aaj dangerous level par pahunch gaya hai,air
smog ki wajah se aasman dhundhla dikh raha hai,air
morning walk me ghutan si mehsoos hoti hai,air
diesel generator ka smoke balcony me ghus jata hai,air
parali jalne se pura ilaqa dhundh se bhar gaya,air
air purifier bhi pollution kam nahi kar pa raha,air
traffic signal par khade hote hi dhuaan lagta hai,air
industrial area se chemical jaisi smell aati hai,air
jalti plastic ki badboo hawa me faili hui hai,air
dust storm jaisi halat sadak par ban jati hai,air
pollution se aankhon me jalan hoti hai,air
saans lete waqt seene me bojh sa lagta hai,air
roadside ki mitti chalne par hawa me udti rehti hai,air
bus aur truck ke exhaust fumes bahut tez hain,air
winter me smog poora din bana rehta hai,air
hawa me jalte hue tel jaisi smell hai,air
pollution ki wajah se lagataar khansi aa rahi hai,air
construction trucks bina cover ke mitti gira dete hain,air
chimney se smoke control nahi ho raha,air
air quality monitor red zone dikha raha hai,air
smoke ki wajah se visibility bahut kam ho gayi hai,air
open burning rokne ke bawajood dhuaan aa raha hai,air
hawa me safed dhool ke particles dikhte hain,air
polluted air se allergy badh gayi hai,air
subah ki hawa bhi saaf mehsoos nahi hoti,air
smog ki layer se suraj dhundhla dikh raha hai,air
air pollution ki complaint par koi action nahi hua,air
diesel trucks ka dhuaan poori gali me failta hai,air
construction debris se hawa aur gandi ho rahi hai,air
smoke alarm jaisi smell baar baar aati hai,air
hawa me ash jaisi cheezein udti rehti hain,air
pollution se throat me jalan mehsoos hoti hai,air
heavy traffic se fumes ghar tak pahunchte hain,air
industrial waste jalane se zehrela dhuaan hai,air
parali smoke se din me bhi dhundh chhayi rehti hai,air
air purifier ki filter turant gandi ho jati hai,air
jalta hua rubber jaisi smell fail rahi hai,air
pollution ki wajah se headache hota rehta hai,air
construction dust se kapde tak gande ho jate hain,air
smog alert hone par bhi koi roktham nahi,air
hawa me sulphur jaisi teekhi smell hai,air
road sweeping na hone se dhool udti rehti hai,air
pollution se breathing problem badh rahi hai,air
chimney se nikalta smoke aasman kala kar raha hai,air
bus ke peeche khade hote hi tez fumes lagte hain,air
jalte kachre ka dhuaan school tak pahunchta hai,air
air quality itni kharab hai ki mask zaruri hai,air
smog ki wajah se door ki cheezein dikhna band hai,air
industrial plant ka exhaust hawa ko kharab karta hai,air
road dust ki wajah se aankhon me paani aata hai,air
pollution ki wajah se asthma trigger ho raha hai,air
subah shaam hawa me tez badboo bani rehti hai,air
vehicle idling se extra smoke failta hai,air
construction cutting se cement dust hawa me hai,air
pollution se gala sukh jata hai turant,air
jalti hui lakdi ka dhuaan poori gali me hai,air
air quality itni low hai ki bahar nikalna mushkil,air
smog me buildings bhi saaf nahi dikhti,air
hawa me chemical fumes ka asar mehsoos hota hai,air
pollution se bachche lagataar khans rahe hain,air
heavy diesel smoke se balcony kala pad gaya,air
air complaint karne par bhi badlav nahi aaya,air
open garbage burning se toxic smoke hai,air
pollution ki wajah se saans tez chalti hai,air
hawa me badboo aur dhool dono mix hai,air
construction blasting se hawa aur dhundhli ho gayi,air
pollution se sir me dard aur chakkar aate hain,air
factory ke exhaust fan se dhuaan seedha road par,air
smog ki wajah se traffic lights bhi dhundhli,air
air pollution se skin irritation mehsoos hoti hai,air
hawa itni gandi hai ki ghar me rehna behtar,air
diesel pump ka smoke aas paas fail raha hai,air
clean air ke liye turant action ki zarurat hai,air

bus roz time par nahi aati,transport
traffic jam ki wajah se office late pahuchta hun,transport
road par bada pothole accident ka risk badhata hai,transport
signal kaam nahi kar raha busy crossing par,transport
auto drivers meter se chalne se mana karte hain,transport
public bus hamesha over crowded rehti hai,transport
footpath par encroachment hone se chalna mushkil hai,transport
illegal parking se road ek lane ki reh gayi hai,transport
metro gate par bahut zyada bheed lagti hai,transport
bus stop par koi proper shelter nahi hai,transport
road repair ka kaam bahut din se pending hai,transport
zebra crossing ke paint bilkul mit gaye hain,transport
school zone me speed breaker nahi lagaya gaya,transport
traffic police peak hour me dikhai nahi deti,transport
flyover par har roz slow moving traffic hota hai,transport
rickshaw stand galat jagah bana diya gaya hai,transport
bus route ki jankari clear display nahi hoti,transport
junction par right turn lene me bahut time lagta hai,transport
metro token machine baar baar error deti hai,transport
bike parking ke liye jagah nahi milti,transport
lane discipline koi follow nahi karta sadak par,transport
road par waterlogging se gaadiyan phas jati hain,transport
diversion ka board lagaya hi nahi gaya,transport
bus shelter toot kar jhuk gaya hai,transport
public transport ki frequency bahut kam hai,transport
footpath toot gaya hai aur uneven ho gaya hai,transport
signal timing galat hone se jam lagta hai,transport
potholes me paani bhar kar dikhte nahi hain,transport
metro coach me entry karna mushkil ho jata hai,transport
auto stand par queue system follow nahi hota,transport
road markings clearly dikhai nahi deti,transport
school ke bahar safe crossing nahi bani,transport
one way rule log follow nahi karte,transport
heavy vehicles residential area me ghuste hain,transport
traffic lights din me bhi blink karti rehti hain,transport
bus pass validation me baar baar problem aati hai,transport
cycle lane par gaadiyan park ki hui hain,transport
road widening ka kaam adhura chhod diya gaya,transport
public bus drivers rash driving karte hain,transport
foot overbridge par light kaam nahi karti,transport
bus late aane ki wajah se students late ho jate hain,transport
rickshaw wale chhote distance ke liye mana kar dete hain,transport
metro card recharge machine kaam nahi karti,transport
traffic diversion ki wajah se confusion hota hai,transport
parking ki wajah se ambulance ka rasta block ho jata hai,transport
road par speed limit ka board missing hai,transport
bus stop par information board toot gaya hai,transport
metro platform par safety line dikhai nahi deti,transport
signal par left turn free hone par bhi jam lagta hai,transport
public transport connectivity weak lagti hai area me,transport
road construction se dust aur jam dono badh gaye hain,transport
auto fare meter tez chal raha hai,transport
traffic camera hone ke bawajood rule break hote hain,transport
road ke kinare illegal vendors khade rehte hain,transport
bus drivers designated stop par nahi rukte,transport
footpath par bikes chalai ja rahi hain,transport
metro entry par security check bahut slow hota hai,transport
signal par countdown timer kaam nahi karta,transport
road par reflectors lagane ki zarurat hai,transport
bus ke doors properly band nahi hote,transport
rickshaw drivers extra passengers bitha lete hain,transport
metro escalator aksar band rehta hai,transport
traffic jam ki wajah se pollution aur badh jata hai,transport
road par broken divider se khatra badhta hai,transport
bus route achanak change kar diya gaya,transport
footpath par pani bharne se chalna mushkil hai,transport
traffic rules todne par koi challan nahi hota,transport
metro station par parking facility nahi hai,transport
road par sharp turn par warning sign missing hai,transport
bus conductor ticket dene me delay karta hai,transport
public bus ki brakes se tez awaaz aati hai,transport
rickshaw stand par jagah bahut kam hai,transport
metro station ke bahar hamesha jam laga rehta hai,transport
road par street lights kam hone se accident ka risk hai,transport
bus ke andar handrail toot gaya hai,transport
auto drivers route lene se mana kar dete hain,transport
traffic signal par pedestrian button kaam nahi karta,transport
flyover ke neeche illegal parking ho rahi hai,transport
road par barricades bina reflectors ke lage hain,transport
public transport me AC kaam nahi karta,transport
